ID,desc::source,type,desc::subtitle,disturbance,desc::disturbancetype,continent,desc::country,position,desc::full name,topic,accentedness,video_url,desc::title,desc::pubdate,desc::notes,loc::lat,loc::lon,desc::multi-region accent
__PLEWMAP_CALIB__,"{""mode"": ""edges"", ""mercator"": false, ""locX"": ""loc::lon"", ""locY"": ""loc::lat"", ""L"": -180, ""R"": 180, ""T"": 90, ""B"": -90}",,,,,,,,,,,,,,,,,
26,louisiana channel,documentary,no,no,na,mix,egypt-armenia,artist,anna boghiguian,culture,strong,https://youtu.be/XV6kCAP1KU8?t=121,,,,26.60517034450628,30.240135435012338,yes
26,louisiana channel,documentary,no,no,na,mix,egypt-armenia,artist,anna boghiguian,culture,strong,https://youtu.be/XV6kCAP1KU8?t=121,,,,40.17841274230679,45.05490831965259,yes
27,louisiana channel,documentary,no,no,na,europe,austria,artist,eva schlegel,culture,medium,https://youtu.be/XTDJzLeZ2eg?t=129,,,,47.631858269895794,13.797778364631036,no
28,louisiana channel,documentary,no,no,na,europe,france,artist,marguerite humeau,culture,strong,https://youtu.be/IH5QsZLDUDM?t=34,,,,46.6423682169416,2.1940236627886227,no
29,louisiana channel,documentary,no,no,na,europe,serbia,artist,marina abramovic,culture,weak,https://youtu.be/qyKXw24JX5g?t=200,,,,44.02679870131969,20.85677444395745,no
30,louisiana channel,documentary,no,no,na,europe,denmark-iceland,artist,olafur eliasson,culture,weak,https://youtu.be/qyKXw24JX5g?t=186,,,,56.00118817971057,9.378670542409406,yes
30,louisiana channel,documentary,no,no,na,europe,denmark-iceland,artist,olafur eliasson,culture,weak,https://youtu.be/qyKXw24JX5g?t=186,,,,65.12360920205514,-19.05682967106099,yes
31,louisiana channel,documentary,no,no,na,asia,iran,artist,shirazeh hourshiary,culture,medium,https://youtu.be/H7Dtu6go7Qo?t=266,,,,32.906023742890056,54.237077001065444,no
32,louisiana channel,documentary,no,no,na,asia,japan,artist,yoko ono,culture,medium,https://youtu.be/KnOOztsKJ-s?t=93,,,,36.76738832597829,137.46934234351835,no
33,louisiana channel,documentary,no,no,na,europe,france,artist,sophie calle,culture,strong,https://youtu.be/vyqiEfaH0sA?,,,,46.6423682169416,2.1940236627886227,no
34,louisiana channel,documentary,no,no,na,europe,netherland,artist,marijke van warmerdam,culture,weak,https://youtu.be/QsizmPhNo54?t=49,,,,52.134054128923886,5.554136426128487,no
35,louisiana channel,documentary,no,no,na,africa,ethiopia,artist,tesfaye urgessa,culture,medium,https://youtu.be/-kVjfp_RK4E?t=98,,,,8.729389557048396,39.914902886544276,no
36,louisiana channel,documentary,no,no,na,europe,spain,artist,cristina banban,culture,medium,https://youtu.be/AgqvHEK93zY?t=66,,,,40.365008336683836,-3.6516251409956983,no
37,spicy moustache,casual,no,no,na,europe,italy,vlogger,alessandro vitale,culture,strong,https://youtu.be/zIfqWf5Yfj0?t=68,,,,42.98201127614267,12.763657166123137,no
38,this is katie,casual,no,no,na,asia,korea,vlogger,katie,culture,medium,https://youtu.be/kyHVFDujn4M?t=597,,,,36.402386712544114,127.76224551357649,no
39,france 24 english,interview,no,no,na,europe,france,vlogger,alexis gabriel ainouz,culture,medium,https://youtu.be/NTUi_DA6sLs?t=68,,,,46.6423682169416,2.1940236627886227,no
40,talks at google,interview,no,no,na,asia,korea,vlogger,maangchi,culture,strong,https://youtu.be/EScvgGxFq4Q?t=1338,,,,36.402386712544114,127.76224551357649,no
41,talks at google,interview,no,no,na,asia,japan,tv,marie kondo,culture,strong,https://youtu.be/w1-HMMX_NR8?t=2,,,,36.76738832597829,137.46934234351835,no
42,talks at google,interview,no,no,na,euroasia,russia,expert,Ilya Strebulaev,business,medium,https://youtu.be/2fEyffMkUxA?t=234,,,,59.039434214106194,98.6704990698032,no
43,the late show with stephen colbert,interview,no,no,na,asia,japan,actor,hiroyuki sanada,entertainment,medium,https://youtu.be/xrM6FQIIL64?t=158,,,,36.76738832597829,137.46934234351835,no
44,SAG-AFTRA foundation,interview,no,no,na,asia,japan,actor,takehiro hira,entertainment,weak,https://youtu.be/watch?v=dEM9GY9-raI,,,,36.76738832597829,137.46934234351835,no
45,wired,interview,no,no,na,asia,hong kong,actor,jacky chan,entertainment,strong,https://youtu.be/e0IWSyc5AQQ?t=97,,,,22.3193,114.1694,no
46,the kelly clarkson show,interview,no,no,na,asia,korea,actor,lee bjun-hun,entertainment,medium,https://youtu.be/ngh7oyERjDA?t=45,,,,36.402386712544114,127.76224551357649,no
47,nhk world japan,news,no,no,na,asia,japan,anchor,na,business,medium,https://youtu.be/coHMpWAbFNY,,,https://www3.nhk.or.jp/nhkworld/en/news/anchors/,36.76738832597829,137.46934234351835,no
48,nhk world japan,news,no,no,na,africa,south africa,anchor,tsietsi monare,report,medium,https://youtu.be/YMBtGavZnAE,,,https://www.instagram.com/tsietsi_monare/,-28.55361930679731,24.75252746489084,no
49,nhk world japan,news,no,no,na,asia,japan,anchor,na,business,medium,https://youtu.be/coHMpWAbFNY?t=334,,,,36.76738832597829,137.46934234351835,no
50,nhk world japan,news,no,yes,noise,asia,japan,reporter,kyoko tashiro,report,medium,https://youtu.be/Z3NIgECWahQ?t=10,,,,36.76738832597829,137.46934234351835,no
51,nhk world japan,news,no,no,na,asia,japan,anchor,ayako kumei,politics,weak,https://youtu.be/Ea17SgCmEOc?t=11,,,,36.76738832597829,137.46934234351835,no
52,nhk world japan,news,no,no,na,asia,japan,anchor,hiroaki yamaguchi,politics,weak,https://youtu.be/Ea17SgCmEOc?t=26,,,,36.76738832597829,137.46934234351835,no
53,nhk world japan,news,no,no,na,europe,ukraine,expert,denys shtilierman,politics,strong,https://youtu.be/Ea17SgCmEOc?t=68,,,,48.657532515563794,31.27377208442636,no
